Input data (X), from "High Tide -3h" to "High Tide +3h", with t=0 at High Tide 
----------------- 
Description 
Each input scenario is a dataset of time series of the following 8 variables, over a 6h time span, centered on high tide. 
- NM: relative mean sea level (m), referenced to the French vertical datum (IGN69). Representative of the regional relative mean sea level (i.e. mean sea level accounting for the vertical ground motions). 
- T: tidal water level (m), referenced to the relative mean sea level. Location (WGS84): (-3.36°E, 47.68°N). 
- S: atmospheric storm surge (m). Location (WGS84): (-3.36°E, 47.68°N). 
- Hs: significant wave height (m). Location (WGS84): (-3.4778°E, 47.5606°N). 
- Tp: wave peak period (s). Location (WGS84): (-3.4778°E, 47.5606°N). 
- Dp: wave peak direction (° in nautical convention). Location (WGS84): (-3.4778°E, 47.5606°N). 
- U: wind speed (m/s). Location (WGS84): (-3.438°E,47.615°N). 
- DU: wind direction (° in nautical convention). Location (WGS84): (-3.438°E,47.615°N). 
----------------- 
----------------- 
Scenario n°109
Type of Scenario: real past forcing event (from the damage database of Idier et al. (2020) [https://link.springer.com/article/10.1007/s11069-020-03882-4]) 
High Tide date (UTC): 1900-02-15T16:20:00 
Data source: Hydro-Meteorological database (1900-2016) built by Idier et al.(2020) [https://link.springer.com/article/10.1007/s11069-020-03882-4]. 
----------------- 
t (min)	NM (m/IGN69)	T (m/NM)	S (m)	Hs (m)	Tp (s)	Dp (° nautical)	U (m/s)	DU (° nautical) 
-180	 0.298	 0.01	 0.28	 3.36	 8.94	 235.82	 17.50	 208.29	
-170	 0.298	 0.18	 0.28	 3.40	 9.02	 236.12	 17.45	 209.10	
-160	 0.298	 0.34	 0.29	 3.44	 9.09	 236.42	 17.40	 209.91	
-150	 0.298	 0.49	 0.29	 3.49	 9.17	 236.72	 17.34	 210.72	
-140	 0.298	 0.64	 0.29	 3.53	 9.24	 237.02	 17.29	 211.53	
-130	 0.298	 0.78	 0.29	 3.57	 9.31	 237.31	 17.24	 212.34	
-120	 0.298	 0.91	 0.29	 3.61	 9.39	 237.61	 17.19	 213.15	
-110	 0.298	 1.03	 0.30	 3.65	 9.46	 237.91	 17.13	 213.96	
-100	 0.298	 1.15	 0.30	 3.69	 9.53	 238.21	 17.08	 214.77	
-90	 0.298	 1.25	 0.30	 3.74	 9.61	 238.51	 17.03	 215.58	
-80	 0.298	 1.34	 0.30	 3.78	 9.68	 238.81	 16.98	 216.39	
-70	 0.298	 1.42	 0.30	 3.82	 9.75	 239.10	 16.92	 217.20	
-60	 0.298	 1.49	 0.31	 3.86	 9.83	 239.40	 16.87	 218.01	
-50	 0.298	 1.55	 0.31	 3.90	 9.90	 239.70	 16.82	 218.82	
-40	 0.298	 1.60	 0.31	 3.94	 9.97	 240.00	 16.76	 219.63	
-30	 0.298	 1.64	 0.31	 3.99	 10.05	 240.30	 16.71	 220.44	
-20	 0.298	 1.67	 0.31	 4.03	 10.12	 240.60	 16.66	 221.25	
-10	 0.298	 1.69	 0.32	 4.07	 10.19	 240.89	 16.61	 222.06	
  0	 0.298	 1.69	 0.32	 4.11	 10.27	 241.19	 16.55	 222.88	
 10	 0.298	 1.69	 0.32	 4.15	 10.34	 241.49	 16.50	 223.69	
 20	 0.298	 1.68	 0.32	 4.19	 10.41	 241.79	 16.45	 224.50	
 30	 0.298	 1.66	 0.32	 4.24	 10.49	 242.09	 16.40	 225.31	
 40	 0.298	 1.62	 0.33	 4.28	 10.56	 242.39	 16.34	 226.12	
 50	 0.298	 1.58	 0.33	 4.32	 10.64	 242.68	 16.29	 226.93	
 60	 0.298	 1.53	 0.33	 4.36	 10.71	 242.98	 16.24	 227.74	
 70	 0.298	 1.47	 0.33	 4.40	 10.78	 243.28	 16.18	 228.55	
 80	 0.298	 1.39	 0.33	 4.44	 10.86	 243.58	 16.13	 229.36	
 90	 0.298	 1.31	 0.34	 4.48	 10.93	 243.88	 16.08	 230.17	
100	 0.298	 1.22	 0.34	 4.53	 11.00	 244.18	 16.03	 230.98	
110	 0.298	 1.12	 0.34	 4.53	 11.03	 244.10	 15.86	 231.94	
120	 0.298	 1.01	 0.34	 4.53	 11.07	 244.01	 15.69	 232.89	
130	 0.298	 0.90	 0.34	 4.53	 11.10	 243.93	 15.53	 233.85	
140	 0.298	 0.77	 0.34	 4.53	 11.13	 243.85	 15.36	 234.80	
150	 0.298	 0.64	 0.34	 4.54	 11.16	 243.77	 15.19	 235.76	
160	 0.298	 0.50	 0.34	 4.54	 11.19	 243.69	 15.03	 236.72	
170	 0.298	 0.36	 0.33	 4.54	 11.23	 243.61	 14.86	 237.67	
180	 0.298	 0.21	 0.33	 4.54	 11.26	 243.53	 14.70	 238.63	
