Input data (X), from "High Tide -3h" to "High Tide +3h", with t=0 at High Tide 
----------------- 
Description 
Each input scenario is a dataset of time series of the following 8 variables, over a 6h time span, centered on high tide. 
- NM: relative mean sea level (m), referenced to the French vertical datum (IGN69). Representative of the regional relative mean sea level (i.e. mean sea level accounting for the vertical ground motions). 
- T: tidal water level (m), referenced to the relative mean sea level. Location (WGS84): (-3.36°E, 47.68°N). 
- S: atmospheric storm surge (m). Location (WGS84): (-3.36°E, 47.68°N). 
- Hs: significant wave height (m). Location (WGS84): (-3.4778°E, 47.5606°N). 
- Tp: wave peak period (s). Location (WGS84): (-3.4778°E, 47.5606°N). 
- Dp: wave peak direction (° in nautical convention). Location (WGS84): (-3.4778°E, 47.5606°N). 
- U: wind speed (m/s). Location (WGS84): (-3.438°E,47.615°N). 
- DU: wind direction (° in nautical convention). Location (WGS84): (-3.438°E,47.615°N). 
----------------- 
----------------- 
Scenario n°122
Type of Scenario: variation around a real past forcing event (High Tide date (UTC): 2004-10-27T15:20:00; scenario n°99) 
High Tide date: Not Concerned 
Data source: Not Concerned 
----------------- 
t (min)	NM (m/IGN69)	T (m/NM)	S (m)	Hs (m)	Tp (s)	Dp (° nautical)	U (m/s)	DU (° nautical) 
-180	 0.608	 0.44	 0.34	 4.36	 9.02	 183.58	 15.30	 186.79	
-170	 0.608	 0.60	 0.34	 4.35	 9.04	 184.08	 15.52	 187.74	
-160	 0.608	 0.75	 0.35	 4.33	 9.05	 184.58	 15.74	 188.70	
-150	 0.608	 0.89	 0.35	 4.31	 9.07	 185.08	 15.96	 189.66	
-140	 0.608	 1.03	 0.35	 4.30	 9.08	 185.58	 16.18	 190.61	
-130	 0.608	 1.16	 0.35	 4.32	 9.08	 186.41	 16.33	 191.94	
-120	 0.608	 1.28	 0.35	 4.34	 9.08	 187.25	 16.48	 193.26	
-110	 0.608	 1.39	 0.35	 4.36	 9.08	 188.08	 16.63	 194.59	
-100	 0.608	 1.50	 0.35	 4.38	 9.08	 188.91	 16.78	 195.91	
-90	 0.608	 1.59	 0.35	 4.40	 9.08	 189.74	 16.93	 197.23	
-80	 0.608	 1.67	 0.35	 4.43	 9.08	 190.58	 17.08	 198.56	
-70	 0.608	 1.75	 0.35	 4.48	 9.10	 191.74	 16.94	 198.72	
-60	 0.608	 1.81	 0.35	 4.54	 9.11	 192.91	 16.80	 198.88	
-50	 0.608	 1.87	 0.35	 4.60	 9.13	 194.07	 16.65	 199.04	
-40	 0.608	 1.91	 0.35	 4.66	 9.14	 195.24	 16.51	 199.21	
-30	 0.608	 1.94	 0.35	 4.72	 9.16	 196.41	 16.37	 199.37	
-20	 0.608	 1.97	 0.35	 4.77	 9.17	 197.57	 16.23	 199.53	
-10	 0.608	 1.98	 0.35	 4.85	 9.20	 198.74	 16.15	 199.55	
  0	 0.608	 1.98	 0.35	 4.92	 9.23	 199.90	 16.07	 199.56	
 10	 0.608	 1.96	 0.35	 5.00	 9.26	 201.07	 15.99	 199.58	
 20	 0.608	 1.94	 0.35	 5.07	 9.29	 202.23	 15.91	 199.59	
 30	 0.608	 1.90	 0.35	 5.15	 9.31	 203.40	 15.83	 199.61	
 40	 0.608	 1.85	 0.35	 5.22	 9.34	 204.57	 15.75	 199.62	
 50	 0.608	 1.79	 0.35	 5.28	 9.88	 211.56	 15.67	 199.68	
 60	 0.608	 1.72	 0.35	 5.35	 10.42	 218.55	 15.59	 199.74	
 70	 0.608	 1.63	 0.35	 5.41	 10.95	 225.55	 15.50	 199.80	
 80	 0.608	 1.53	 0.35	 5.47	 11.49	 232.54	 15.42	 199.86	
 90	 0.608	 1.42	 0.35	 5.54	 12.03	 239.54	 15.34	 199.92	
100	 0.608	 1.30	 0.35	 5.60	 12.57	 246.53	 15.26	 199.98	
110	 0.608	 1.17	 0.35	 5.64	 12.72	 246.70	 15.46	 201.47	
120	 0.608	 1.03	 0.35	 5.69	 12.87	 246.86	 15.66	 202.95	
130	 0.608	 0.88	 0.35	 5.73	 13.03	 247.03	 15.86	 204.44	
140	 0.608	 0.72	 0.35	 5.77	 13.18	 247.20	 16.07	 205.92	
150	 0.608	 0.55	 0.35	 5.81	 13.34	 247.36	 16.27	 207.41	
160	 0.608	 0.37	 0.35	 5.85	 13.49	 247.53	 16.47	 208.90	
170	 0.608	 0.19	 0.35	 5.89	 13.53	 247.70	 16.30	 209.10	
180	 0.608	 0.01	 0.35	 5.92	 13.56	 247.86	 16.14	 209.30	
