Input data (X), from "High Tide -3h" to "High Tide +3h", with t=0 at High Tide 
----------------- 
Description 
Each input scenario is a dataset of time series of the following 8 variables, over a 6h time span, centered on high tide. 
- NM: relative mean sea level (m), referenced to the French vertical datum (IGN69). Representative of the regional relative mean sea level (i.e. mean sea level accounting for the vertical ground motions). 
- T: tidal water level (m), referenced to the relative mean sea level. Location (WGS84): (-3.36°E, 47.68°N). 
- S: atmospheric storm surge (m). Location (WGS84): (-3.36°E, 47.68°N). 
- Hs: significant wave height (m). Location (WGS84): (-3.4778°E, 47.5606°N). 
- Tp: wave peak period (s). Location (WGS84): (-3.4778°E, 47.5606°N). 
- Dp: wave peak direction (° in nautical convention). Location (WGS84): (-3.4778°E, 47.5606°N). 
- U: wind speed (m/s). Location (WGS84): (-3.438°E,47.615°N). 
- DU: wind direction (° in nautical convention). Location (WGS84): (-3.438°E,47.615°N). 
----------------- 
----------------- 
Scenario n°155
Type of Scenario: variation around a statistical event (scenario n°15) 
High Tide date: Not Concerned 
Data source: Not Concerned 
----------------- 
t (min)	NM (m/IGN69)	T (m/NM)	S (m)	Hs (m)	Tp (s)	Dp (° nautical)	U (m/s)	DU (° nautical) 
-180	 0.850	 0.10	 0.84	 3.00	 9.32	 256.92	 6.73	 102.90	
-170	 0.850	 0.35	 0.84	 3.00	 9.27	 257.15	 6.69	 105.27	
-160	 0.850	 0.58	 0.84	 2.99	 9.24	 257.70	 6.66	 108.29	
-150	 0.850	 0.82	 0.84	 2.98	 9.25	 257.99	 6.62	 111.28	
-140	 0.850	 1.04	 0.83	 2.98	 9.25	 257.87	 6.58	 113.41	
-130	 0.850	 1.25	 0.83	 2.98	 9.21	 257.36	 6.55	 115.73	
-120	 0.850	 1.45	 0.84	 2.98	 9.16	 257.12	 6.55	 118.10	
-110	 0.850	 1.64	 0.84	 2.97	 9.10	 256.84	 6.58	 120.16	
-100	 0.850	 1.80	 0.84	 2.97	 9.02	 256.25	 6.58	 122.41	
-90	 0.850	 1.96	 0.84	 2.97	 8.96	 255.34	 6.56	 124.58	
-80	 0.850	 2.10	 0.84	 2.97	 8.90	 254.97	 6.54	 126.08	
-70	 0.850	 2.22	 0.83	 2.97	 8.86	 254.84	 6.54	 127.17	
-60	 0.850	 2.33	 0.83	 2.97	 8.84	 254.36	 6.58	 127.38	
-50	 0.850	 2.42	 0.83	 2.98	 8.78	 253.66	 6.62	 127.97	
-40	 0.850	 2.49	 0.83	 2.98	 8.72	 252.88	 6.64	 128.06	
-30	 0.850	 2.55	 0.83	 2.98	 8.62	 252.68	 6.66	 127.75	
-20	 0.850	 2.59	 0.83	 2.99	 8.53	 252.15	 6.66	 129.15	
-10	 0.850	 2.61	 0.83	 2.99	 8.43	 251.43	 6.67	 131.11	
  0	 0.850	 2.62	 0.83	 3.01	 8.33	 251.10	 6.63	 133.38	
 10	 0.850	 2.61	 0.83	 3.02	 8.25	 250.94	 6.57	 134.85	
 20	 0.850	 2.59	 0.83	 3.02	 8.19	 251.13	 6.51	 136.48	
 30	 0.850	 2.55	 0.83	 3.02	 8.14	 251.02	 6.51	 137.24	
 40	 0.850	 2.50	 0.83	 3.03	 8.09	 251.13	 6.52	 137.55	
 50	 0.850	 2.42	 0.82	 3.03	 8.02	 251.24	 6.49	 137.78	
 60	 0.850	 2.36	 0.82	 3.04	 7.95	 251.30	 6.42	 137.89	
 70	 0.850	 2.27	 0.82	 3.05	 7.92	 251.11	 6.40	 137.78	
 80	 0.850	 2.16	 0.82	 3.06	 7.85	 250.45	 6.40	 137.78	
 90	 0.850	 2.03	 0.81	 3.06	 7.80	 249.66	 6.41	 138.15	
100	 0.850	 1.91	 0.81	 3.07	 7.78	 249.05	 6.39	 138.21	
110	 0.850	 1.76	 0.80	 3.07	 7.77	 248.34	 6.36	 137.99	
120	 0.850	 1.61	 0.80	 3.08	 7.78	 247.72	 6.39	 137.99	
130	 0.850	 1.44	 0.80	 3.09	 7.76	 247.37	 6.43	 137.48	
140	 0.850	 1.26	 0.80	 3.09	 7.76	 247.43	 6.49	 136.81	
150	 0.850	 1.08	 0.80	 3.10	 7.72	 247.63	 6.55	 136.20	
160	 0.850	 0.89	 0.79	 3.10	 7.70	 247.72	 6.61	 135.76	
170	 0.850	 0.69	 0.79	 3.11	 7.63	 248.06	 6.64	 134.84	
180	 0.850	 0.47	 0.79	 3.12	 7.58	 248.43	 6.66	 133.56	
