Input data (X), from "High Tide -3h" to "High Tide +3h", with t=0 at High Tide 
----------------- 
Description 
Each input scenario is a dataset of time series of the following 8 variables, over a 6h time span, centered on high tide. 
- NM: relative mean sea level (m), referenced to the French vertical datum (IGN69). Representative of the regional relative mean sea level (i.e. mean sea level accounting for the vertical ground motions). 
- T: tidal water level (m), referenced to the relative mean sea level. Location (WGS84): (-3.36°E, 47.68°N). 
- S: atmospheric storm surge (m). Location (WGS84): (-3.36°E, 47.68°N). 
- Hs: significant wave height (m). Location (WGS84): (-3.4778°E, 47.5606°N). 
- Tp: wave peak period (s). Location (WGS84): (-3.4778°E, 47.5606°N). 
- Dp: wave peak direction (° in nautical convention). Location (WGS84): (-3.4778°E, 47.5606°N). 
- U: wind speed (m/s). Location (WGS84): (-3.438°E,47.615°N). 
- DU: wind direction (° in nautical convention). Location (WGS84): (-3.438°E,47.615°N). 
----------------- 
----------------- 
Scenario n°185
Type of Scenario: real past forcing event (outside the damage database of Idier et al. (2020) [https://link.springer.com/article/10.1007/s11069-020-03882-4]) 
High Tide date (UTC): 2002-12-24T18:50:00 
Data source: Hydro-Meteorological database (1900-2016) built by Idier et al.(2020) [https://link.springer.com/article/10.1007/s11069-020-03882-4]. 
----------------- 
t (min)	NM (m/IGN69)	T (m/NM)	S (m)	Hs (m)	Tp (s)	Dp (° nautical)	U (m/s)	DU (° nautical) 
-180	 0.500	 -0.04	 0.06	 4.17	 13.62	 254.18	 8.14	 218.08	
-170	 0.500	 0.09	 0.06	 4.16	 13.60	 254.38	 8.11	 217.69	
-160	 0.500	 0.22	 0.06	 4.15	 13.59	 254.38	 8.22	 217.38	
-150	 0.500	 0.35	 0.06	 4.14	 13.57	 254.38	 8.32	 217.07	
-140	 0.500	 0.47	 0.06	 4.13	 13.56	 254.38	 8.42	 216.75	
-130	 0.500	 0.59	 0.06	 4.12	 13.54	 254.38	 8.53	 216.44	
-120	 0.500	 0.70	 0.06	 4.11	 13.53	 254.38	 8.63	 216.13	
-110	 0.500	 0.80	 0.06	 4.09	 13.51	 254.38	 8.73	 215.82	
-100	 0.500	 0.89	 0.06	 4.08	 13.51	 254.57	 8.99	 217.32	
-90	 0.500	 0.98	 0.06	 4.07	 13.51	 254.77	 9.25	 218.83	
-80	 0.500	 1.06	 0.06	 4.06	 13.50	 254.96	 9.51	 220.33	
-70	 0.500	 1.13	 0.06	 4.05	 13.50	 255.16	 9.76	 221.83	
-60	 0.500	 1.19	 0.06	 4.04	 13.49	 255.35	 10.02	 223.34	
-50	 0.500	 1.24	 0.06	 4.03	 13.49	 255.55	 10.28	 224.84	
-40	 0.500	 1.29	 0.06	 4.02	 13.49	 255.74	 10.27	 224.86	
-30	 0.500	 1.32	 0.06	 4.01	 13.49	 255.94	 10.25	 224.88	
-20	 0.500	 1.34	 0.06	 4.00	 13.49	 256.13	 10.24	 224.90	
-10	 0.500	 1.36	 0.06	 4.00	 13.49	 256.33	 10.22	 224.92	
  0	 0.500	 1.36	 0.06	 3.99	 13.49	 256.52	 10.20	 224.94	
 10	 0.500	 1.36	 0.06	 3.98	 13.49	 256.72	 10.19	 224.96	
 20	 0.500	 1.34	 0.06	 3.98	 13.46	 256.90	 10.16	 225.86	
 30	 0.500	 1.32	 0.07	 3.97	 13.44	 257.07	 10.13	 226.77	
 40	 0.500	 1.29	 0.07	 3.97	 13.41	 257.25	 10.11	 227.67	
 50	 0.500	 1.25	 0.07	 3.96	 13.38	 257.43	 10.08	 228.58	
 60	 0.500	 1.20	 0.07	 3.96	 13.36	 257.61	 10.05	 229.48	
 70	 0.500	 1.14	 0.07	 3.95	 13.33	 257.79	 10.02	 230.38	
 80	 0.500	 1.08	 0.07	 3.95	 13.33	 257.97	 9.75	 231.74	
 90	 0.500	 1.01	 0.07	 3.95	 13.33	 258.15	 9.48	 233.09	
100	 0.500	 0.93	 0.07	 3.95	 13.33	 258.32	 9.20	 234.45	
110	 0.500	 0.84	 0.07	 3.95	 13.33	 258.50	 8.93	 235.80	
120	 0.500	 0.75	 0.07	 3.95	 13.33	 258.68	 8.66	 237.15	
130	 0.500	 0.65	 0.07	 3.95	 13.33	 258.86	 8.38	 238.51	
140	 0.500	 0.55	 0.07	 3.94	 13.33	 259.04	 8.16	 239.76	
150	 0.500	 0.44	 0.07	 3.94	 13.33	 259.22	 7.94	 241.01	
160	 0.500	 0.33	 0.07	 3.93	 13.33	 259.39	 7.72	 242.26	
170	 0.500	 0.22	 0.07	 3.93	 13.33	 259.57	 7.50	 243.51	
180	 0.500	 0.10	 0.07	 3.92	 13.33	 259.75	 7.28	 244.76	
