Input data (X), from "High Tide -3h" to "High Tide +3h", with t=0 at High Tide 
----------------- 
Description 
Each input scenario is a dataset of time series of the following 8 variables, over a 6h time span, centered on high tide. 
- NM: relative mean sea level (m), referenced to the French vertical datum (IGN69). Representative of the regional relative mean sea level (i.e. mean sea level accounting for the vertical ground motions). 
- T: tidal water level (m), referenced to the relative mean sea level. Location (WGS84): (-3.36°E, 47.68°N). 
- S: atmospheric storm surge (m). Location (WGS84): (-3.36°E, 47.68°N). 
- Hs: significant wave height (m). Location (WGS84): (-3.4778°E, 47.5606°N). 
- Tp: wave peak period (s). Location (WGS84): (-3.4778°E, 47.5606°N). 
- Dp: wave peak direction (° in nautical convention). Location (WGS84): (-3.4778°E, 47.5606°N). 
- U: wind speed (m/s). Location (WGS84): (-3.438°E,47.615°N). 
- DU: wind direction (° in nautical convention). Location (WGS84): (-3.438°E,47.615°N). 
----------------- 
----------------- 
Scenario n°47
Type of Scenario: statistical event 
High Tide date: Not Concerned 
Data source: Not Concerned 
----------------- 
t (min)	NM (m/IGN69)	T (m/NM)	S (m)	Hs (m)	Tp (s)	Dp (° nautical)	U (m/s)	DU (° nautical) 
-180	 0.830	 0.00	 0.51	 6.31	 10.05	 253.86	 15.09	 352.22	
-170	 0.830	 0.18	 0.50	 6.30	 10.04	 253.63	 15.13	 351.01	
-160	 0.830	 0.36	 0.50	 6.29	 10.02	 253.44	 15.17	 349.84	
-150	 0.830	 0.53	 0.50	 6.28	 10.00	 253.85	 15.14	 349.10	
-140	 0.830	 0.69	 0.50	 6.27	 10.04	 254.59	 15.12	 348.08	
-130	 0.830	 0.85	 0.49	 6.26	 10.11	 255.26	 15.11	 347.17	
-120	 0.830	 1.01	 0.49	 6.25	 10.18	 256.42	 15.06	 346.62	
-110	 0.830	 1.15	 0.49	 6.24	 10.20	 257.79	 15.00	 345.49	
-100	 0.830	 1.29	 0.49	 6.23	 10.25	 259.20	 14.94	 345.09	
-90	 0.830	 1.42	 0.49	 6.22	 10.28	 260.47	 14.92	 344.42	
-80	 0.830	 1.53	 0.49	 6.20	 10.27	 261.07	 14.88	 344.18	
-70	 0.830	 1.63	 0.49	 6.19	 10.26	 261.46	 14.85	 343.84	
-60	 0.830	 1.72	 0.49	 6.18	 10.25	 261.45	 14.89	 343.74	
-50	 0.830	 1.79	 0.49	 6.17	 10.30	 261.04	 14.98	 343.72	
-40	 0.830	 1.85	 0.49	 6.16	 10.32	 260.59	 15.05	 343.43	
-30	 0.830	 1.90	 0.49	 6.14	 10.36	 259.63	 15.09	 343.09	
-20	 0.830	 1.94	 0.49	 6.13	 10.43	 258.82	 15.13	 341.92	
-10	 0.830	 1.97	 0.49	 6.10	 10.49	 257.89	 15.17	 340.67	
  0	 0.830	 1.98	 0.49	 6.10	 10.52	 256.84	 15.19	 338.60	
 10	 0.830	 1.98	 0.49	 6.08	 10.54	 255.82	 15.19	 337.34	
 20	 0.830	 1.97	 0.50	 6.07	 10.57	 254.69	 15.18	 336.87	
 30	 0.830	 1.95	 0.49	 6.06	 10.57	 253.72	 15.16	 337.17	
 40	 0.830	 1.92	 0.49	 6.05	 10.58	 252.77	 15.15	 338.37	
 50	 0.830	 1.88	 0.49	 6.04	 10.60	 251.94	 15.19	 339.86	
 60	 0.830	 1.82	 0.49	 6.04	 10.65	 251.38	 15.20	 341.21	
 70	 0.830	 1.76	 0.49	 6.03	 10.71	 250.76	 15.27	 341.57	
 80	 0.830	 1.69	 0.49	 6.02	 10.78	 250.60	 15.29	 341.55	
 90	 0.830	 1.61	 0.48	 6.02	 10.82	 250.04	 15.30	 341.26	
100	 0.830	 1.53	 0.48	 6.01	 10.86	 249.77	 15.30	 339.49	
110	 0.830	 1.43	 0.48	 6.01	 10.94	 249.37	 15.31	 338.33	
120	 0.830	 1.33	 0.49	 6.00	 11.00	 249.01	 15.35	 337.80	
130	 0.830	 1.22	 0.49	 5.99	 11.05	 248.99	 15.40	 337.51	
140	 0.830	 1.10	 0.49	 5.99	 11.06	 248.62	 15.50	 336.71	
150	 0.830	 0.98	 0.49	 5.99	 11.08	 248.61	 15.59	 335.78	
160	 0.830	 0.85	 0.48	 5.98	 11.13	 248.68	 15.68	 335.12	
170	 0.830	 0.72	 0.48	 5.99	 11.14	 248.70	 15.77	 335.37	
180	 0.830	 0.58	 0.47	 5.98	 11.12	 248.77	 15.81	 335.60	
