Input data (X), from "High Tide -3h" to "High Tide +3h", with t=0 at High Tide 
----------------- 
Description 
Each input scenario is a dataset of time series of the following 8 variables, over a 6h time span, centered on high tide. 
- NM: relative mean sea level (m), referenced to the French vertical datum (IGN69). Representative of the regional relative mean sea level (i.e. mean sea level accounting for the vertical ground motions). 
- T: tidal water level (m), referenced to the relative mean sea level. Location (WGS84): (-3.36°E, 47.68°N). 
- S: atmospheric storm surge (m). Location (WGS84): (-3.36°E, 47.68°N). 
- Hs: significant wave height (m). Location (WGS84): (-3.4778°E, 47.5606°N). 
- Tp: wave peak period (s). Location (WGS84): (-3.4778°E, 47.5606°N). 
- Dp: wave peak direction (° in nautical convention). Location (WGS84): (-3.4778°E, 47.5606°N). 
- U: wind speed (m/s). Location (WGS84): (-3.438°E,47.615°N). 
- DU: wind direction (° in nautical convention). Location (WGS84): (-3.438°E,47.615°N). 
----------------- 
----------------- 
Scenario n°106
Type of Scenario: real past forcing event (from the damage database of Idier et al. (2020) [https://link.springer.com/article/10.1007/s11069-020-03882-4]) 
High Tide date (UTC): 2001-02-07T15:20:00 
Data source: Hydro-Meteorological database (1900-2016) built by Idier et al.(2020) [https://link.springer.com/article/10.1007/s11069-020-03882-4]. 
----------------- 
t (min)	NM (m/IGN69)	T (m/NM)	S (m)	Hs (m)	Tp (s)	Dp (° nautical)	U (m/s)	DU (° nautical) 
-180	 0.499	 0.29	 0.24	 4.32	 16.00	 251.29	 5.60	 160.83	
-170	 0.499	 0.46	 0.24	 4.31	 15.99	 251.29	 5.40	 162.08	
-160	 0.499	 0.62	 0.24	 4.30	 15.97	 251.29	 5.19	 163.33	
-150	 0.499	 0.78	 0.23	 4.29	 15.96	 251.29	 4.98	 164.57	
-140	 0.499	 0.93	 0.23	 4.28	 15.94	 251.29	 4.78	 165.82	
-130	 0.499	 1.07	 0.24	 4.27	 15.93	 251.29	 4.57	 164.33	
-120	 0.499	 1.20	 0.24	 4.26	 15.91	 251.29	 4.37	 162.85	
-110	 0.499	 1.33	 0.24	 4.26	 15.90	 251.29	 4.16	 161.36	
-100	 0.499	 1.44	 0.25	 4.25	 15.88	 251.29	 3.95	 159.88	
-90	 0.499	 1.55	 0.25	 4.24	 15.87	 251.29	 3.75	 158.39	
-80	 0.499	 1.64	 0.26	 4.23	 15.85	 251.29	 3.54	 156.91	
-70	 0.499	 1.73	 0.26	 4.22	 15.84	 251.29	 3.67	 154.47	
-60	 0.499	 1.80	 0.26	 4.21	 15.82	 251.29	 3.80	 152.03	
-50	 0.499	 1.86	 0.26	 4.20	 15.81	 251.29	 3.92	 149.59	
-40	 0.499	 1.91	 0.27	 4.19	 15.79	 251.29	 4.05	 147.15	
-30	 0.499	 1.95	 0.27	 4.18	 15.78	 251.29	 4.17	 144.72	
-20	 0.499	 1.97	 0.27	 4.17	 15.76	 251.29	 4.30	 142.28	
-10	 0.499	 1.99	 0.27	 4.17	 15.75	 251.29	 4.10	 139.84	
  0	 0.499	 1.99	 0.28	 4.16	 15.73	 251.29	 3.90	 137.40	
 10	 0.499	 1.97	 0.28	 4.15	 15.72	 251.29	 3.70	 134.96	
 20	 0.499	 1.95	 0.28	 4.14	 15.70	 251.29	 3.50	 132.52	
 30	 0.499	 1.90	 0.28	 4.13	 15.69	 251.29	 3.29	 130.09	
 40	 0.499	 1.85	 0.28	 4.12	 15.67	 251.29	 3.09	 127.65	
 50	 0.499	 1.78	 0.29	 4.11	 15.66	 251.29	 2.66	 154.21	
 60	 0.499	 1.70	 0.29	 4.10	 15.64	 251.29	 2.23	 180.77	
 70	 0.499	 1.61	 0.29	 4.09	 15.63	 251.29	 1.80	 207.33	
 80	 0.499	 1.51	 0.29	 4.08	 15.61	 251.29	 1.37	 233.90	
 90	 0.499	 1.39	 0.30	 4.08	 15.60	 251.29	 0.94	 260.46	
100	 0.499	 1.26	 0.30	 4.07	 15.58	 251.29	 0.51	 287.02	
110	 0.499	 1.13	 0.30	 4.06	 15.57	 251.29	 1.45	 281.85	
120	 0.499	 0.98	 0.30	 4.05	 15.55	 251.29	 2.38	 276.68	
130	 0.499	 0.82	 0.30	 4.04	 15.54	 251.29	 3.32	 271.51	
140	 0.499	 0.66	 0.31	 4.03	 15.52	 251.29	 4.25	 266.35	
150	 0.499	 0.49	 0.31	 4.02	 15.51	 251.29	 5.19	 261.18	
160	 0.499	 0.31	 0.31	 4.01	 15.49	 251.29	 6.12	 256.01	
170	 0.499	 0.13	 0.31	 4.01	 15.48	 251.38	 7.23	 256.85	
180	 0.499	 -0.05	 0.32	 4.00	 15.47	 251.47	 8.33	 257.69	
