Input data (X), from "High Tide -3h" to "High Tide +3h", with t=0 at High Tide 
----------------- 
Description 
Each input scenario is a dataset of time series of the following 8 variables, over a 6h time span, centered on high tide. 
- NM: relative mean sea level (m), referenced to the French vertical datum (IGN69). Representative of the regional relative mean sea level (i.e. mean sea level accounting for the vertical ground motions). 
- T: tidal water level (m), referenced to the relative mean sea level. Location (WGS84): (-3.36°E, 47.68°N). 
- S: atmospheric storm surge (m). Location (WGS84): (-3.36°E, 47.68°N). 
- Hs: significant wave height (m). Location (WGS84): (-3.4778°E, 47.5606°N). 
- Tp: wave peak period (s). Location (WGS84): (-3.4778°E, 47.5606°N). 
- Dp: wave peak direction (° in nautical convention). Location (WGS84): (-3.4778°E, 47.5606°N). 
- U: wind speed (m/s). Location (WGS84): (-3.438°E,47.615°N). 
- DU: wind direction (° in nautical convention). Location (WGS84): (-3.438°E,47.615°N). 
----------------- 
----------------- 
Scenario n°121
Type of Scenario: variation around a real past forcing event (High Tide date (UTC): 2001-01-10T03:40:00; scenario n°98) 
High Tide date: Not Concerned 
Data source: Not Concerned 
----------------- 
t (min)	NM (m/IGN69)	T (m/NM)	S (m)	Hs (m)	Tp (s)	Dp (° nautical)	U (m/s)	DU (° nautical) 
-180	 0.599	 0.24	 0.24	 3.39	 11.91	 236.76	 13.29	 209.13	
-170	 0.599	 0.43	 0.24	 3.42	 11.87	 236.53	 13.67	 211.77	
-160	 0.599	 0.61	 0.24	 3.45	 11.83	 236.30	 14.05	 214.42	
-150	 0.599	 0.79	 0.24	 3.49	 11.79	 236.07	 14.38	 215.57	
-140	 0.599	 0.96	 0.24	 3.52	 11.75	 235.84	 14.71	 216.72	
-130	 0.599	 1.12	 0.24	 3.55	 11.71	 235.61	 15.03	 217.86	
-120	 0.599	 1.27	 0.24	 3.59	 11.67	 235.38	 15.36	 219.01	
-110	 0.599	 1.42	 0.24	 3.62	 11.63	 235.15	 15.69	 220.16	
-100	 0.599	 1.55	 0.24	 3.65	 11.58	 234.92	 16.01	 221.31	
-90	 0.599	 1.68	 0.24	 3.69	 11.54	 234.69	 16.03	 221.62	
-80	 0.599	 1.79	 0.24	 3.72	 11.50	 234.46	 16.04	 221.93	
-70	 0.599	 1.89	 0.24	 3.75	 11.46	 234.23	 16.06	 222.25	
-60	 0.599	 1.98	 0.24	 3.79	 11.42	 234.00	 16.07	 222.56	
-50	 0.599	 2.05	 0.24	 3.82	 11.38	 233.77	 16.09	 222.87	
-40	 0.599	 2.12	 0.24	 3.85	 11.34	 233.54	 16.10	 223.18	
-30	 0.599	 2.17	 0.24	 3.89	 11.30	 233.31	 16.04	 223.57	
-20	 0.599	 2.20	 0.24	 3.92	 11.26	 233.09	 15.97	 223.96	
-10	 0.599	 2.22	 0.24	 3.95	 11.21	 232.86	 15.90	 224.35	
  0	 0.599	 2.23	 0.24	 3.99	 11.17	 232.63	 15.83	 224.74	
 10	 0.599	 2.23	 0.24	 4.02	 11.13	 232.40	 15.76	 225.13	
 20	 0.599	 2.21	 0.24	 4.05	 11.09	 232.17	 15.69	 225.52	
 30	 0.599	 2.18	 0.24	 4.09	 11.05	 231.94	 15.61	 226.25	
 40	 0.599	 2.13	 0.24	 4.12	 11.01	 231.71	 15.52	 226.98	
 50	 0.599	 2.07	 0.24	 4.15	 10.97	 231.48	 15.44	 227.71	
 60	 0.599	 2.00	 0.24	 4.19	 10.93	 231.25	 15.36	 228.43	
 70	 0.599	 1.91	 0.23	 4.22	 10.88	 231.02	 15.28	 229.16	
 80	 0.599	 1.82	 0.23	 4.25	 10.84	 230.79	 15.20	 229.89	
 90	 0.599	 1.70	 0.23	 4.29	 10.80	 230.56	 15.24	 230.50	
100	 0.599	 1.58	 0.23	 4.32	 10.76	 230.33	 15.29	 231.11	
110	 0.599	 1.45	 0.23	 4.35	 10.72	 230.10	 15.33	 231.73	
120	 0.599	 1.30	 0.23	 4.39	 10.68	 229.87	 15.38	 232.34	
130	 0.599	 1.14	 0.23	 4.42	 10.64	 229.64	 15.42	 232.95	
140	 0.599	 0.98	 0.23	 4.45	 10.60	 229.41	 15.46	 233.56	
150	 0.599	 0.81	 0.23	 4.45	 10.60	 229.49	 15.43	 234.22	
160	 0.599	 0.63	 0.23	 4.44	 10.60	 229.56	 15.39	 234.89	
170	 0.599	 0.44	 0.22	 4.43	 10.60	 229.64	 15.35	 235.55	
180	 0.599	 0.25	 0.22	 4.43	 10.60	 229.72	 15.32	 236.21	
