Input data (X), from "High Tide -3h" to "High Tide +3h", with t=0 at High Tide 
----------------- 
Description 
Each input scenario is a dataset of time series of the following 8 variables, over a 6h time span, centered on high tide. 
- NM: relative mean sea level (m), referenced to the French vertical datum (IGN69). Representative of the regional relative mean sea level (i.e. mean sea level accounting for the vertical ground motions). 
- T: tidal water level (m), referenced to the relative mean sea level. Location (WGS84): (-3.36°E, 47.68°N). 
- S: atmospheric storm surge (m). Location (WGS84): (-3.36°E, 47.68°N). 
- Hs: significant wave height (m). Location (WGS84): (-3.4778°E, 47.5606°N). 
- Tp: wave peak period (s). Location (WGS84): (-3.4778°E, 47.5606°N). 
- Dp: wave peak direction (° in nautical convention). Location (WGS84): (-3.4778°E, 47.5606°N). 
- U: wind speed (m/s). Location (WGS84): (-3.438°E,47.615°N). 
- DU: wind direction (° in nautical convention). Location (WGS84): (-3.438°E,47.615°N). 
----------------- 
----------------- 
Scenario n°171
Type of Scenario: variation around a statistical event (scenario n°12) 
High Tide date: Not Concerned 
Data source: Not Concerned 
----------------- 
t (min)	NM (m/IGN69)	T (m/NM)	S (m)	Hs (m)	Tp (s)	Dp (° nautical)	U (m/s)	DU (° nautical) 
-180	 1.900	 0.00	 0.14	 1.50	 6.14	 252.01	 8.43	 176.67	
-170	 1.900	 0.22	 0.13	 1.50	 6.15	 252.78	 8.50	 177.49	
-160	 1.900	 0.43	 0.14	 1.50	 6.14	 253.48	 8.57	 178.58	
-150	 1.900	 0.64	 0.14	 1.50	 6.14	 254.00	 8.66	 179.11	
-140	 1.900	 0.83	 0.14	 1.50	 6.10	 254.20	 8.73	 178.87	
-130	 1.900	 1.02	 0.13	 1.50	 6.06	 253.79	 8.75	 178.56	
-120	 1.900	 1.19	 0.14	 1.50	 6.03	 253.40	 8.78	 178.74	
-110	 1.900	 1.36	 0.13	 1.50	 6.02	 253.28	 8.82	 178.58	
-100	 1.900	 1.50	 0.14	 1.49	 5.99	 253.40	 8.89	 178.20	
-90	 1.900	 1.65	 0.14	 1.49	 5.97	 253.28	 8.91	 177.77	
-80	 1.900	 1.77	 0.13	 1.48	 5.98	 253.57	 8.96	 178.00	
-70	 1.900	 1.87	 0.14	 1.48	 5.99	 253.92	 9.04	 178.45	
-60	 1.900	 1.97	 0.14	 1.47	 5.98	 254.16	 9.14	 178.56	
-50	 1.900	 2.05	 0.13	 1.46	 5.98	 254.09	 9.25	 178.77	
-40	 1.900	 2.11	 0.13	 1.46	 6.01	 253.88	 9.37	 178.94	
-30	 1.900	 2.16	 0.13	 1.46	 6.02	 254.07	 9.49	 178.56	
-20	 1.900	 2.20	 0.13	 1.46	 6.03	 254.52	 9.61	 178.00	
-10	 1.900	 2.22	 0.13	 1.45	 6.06	 254.97	 9.77	 176.89	
  0	 1.900	 2.23	 0.13	 1.44	 6.14	 256.00	 9.90	 175.81	
 10	 1.900	 2.22	 0.13	 1.44	 6.20	 257.34	 10.00	 173.86	
 20	 1.900	 2.20	 0.14	 1.42	 6.25	 258.95	 10.14	 172.00	
 30	 1.900	 2.18	 0.13	 1.43	 6.30	 260.29	 10.25	 170.51	
 40	 1.900	 2.13	 0.13	 1.42	 6.32	 261.50	 10.38	 168.94	
 50	 1.900	 2.07	 0.13	 1.42	 6.34	 262.65	 10.49	 167.15	
 60	 1.900	 2.01	 0.13	 1.42	 6.31	 263.47	 10.58	 164.80	
 70	 1.900	 1.93	 0.13	 1.43	 6.30	 263.82	 10.64	 162.72	
 80	 1.900	 1.84	 0.13	 1.43	 6.32	 264.16	 10.70	 160.26	
 90	 1.900	 1.73	 0.13	 1.42	 6.34	 264.11	 10.77	 158.55	
100	 1.900	 1.62	 0.13	 1.43	 6.39	 263.74	 10.79	 156.60	
110	 1.900	 1.50	 0.13	 1.43	 6.45	 263.45	 10.86	 154.81	
120	 1.900	 1.36	 0.12	 1.42	 6.49	 262.88	 10.88	 153.75	
130	 1.900	 1.21	 0.12	 1.42	 6.52	 262.16	 10.90	 152.71	
140	 1.900	 1.06	 0.12	 1.42	 6.52	 261.75	 10.86	 151.46	
150	 1.900	 0.90	 0.12	 1.43	 6.50	 261.09	 10.80	 149.13	
160	 1.900	 0.73	 0.12	 1.43	 6.50	 260.70	 10.73	 146.51	
170	 1.900	 0.56	 0.12	 1.43	 6.50	 260.15	 10.62	 144.56	
180	 1.900	 0.37	 0.12	 1.44	 6.50	 259.99	 10.54	 143.06	
