Input data (X), from "High Tide -3h" to "High Tide +3h", with t=0 at High Tide 
----------------- 
Description 
Each input scenario is a dataset of time series of the following 8 variables, over a 6h time span, centered on high tide. 
- NM: relative mean sea level (m), referenced to the French vertical datum (IGN69). Representative of the regional relative mean sea level (i.e. mean sea level accounting for the vertical ground motions). 
- T: tidal water level (m), referenced to the relative mean sea level. Location (WGS84): (-3.36°E, 47.68°N). 
- S: atmospheric storm surge (m). Location (WGS84): (-3.36°E, 47.68°N). 
- Hs: significant wave height (m). Location (WGS84): (-3.4778°E, 47.5606°N). 
- Tp: wave peak period (s). Location (WGS84): (-3.4778°E, 47.5606°N). 
- Dp: wave peak direction (° in nautical convention). Location (WGS84): (-3.4778°E, 47.5606°N). 
- U: wind speed (m/s). Location (WGS84): (-3.438°E,47.615°N). 
- DU: wind direction (° in nautical convention). Location (WGS84): (-3.438°E,47.615°N). 
----------------- 
----------------- 
Scenario n°24
Type of Scenario: statistical event 
High Tide date: Not Concerned 
Data source: Not Concerned 
----------------- 
t (min)	NM (m/IGN69)	T (m/NM)	S (m)	Hs (m)	Tp (s)	Dp (° nautical)	U (m/s)	DU (° nautical) 
-180	 1.750	 0.09	 0.57	 5.31	 15.50	 270.14	 14.08	 7.15	
-170	 1.750	 0.25	 0.57	 5.32	 15.44	 270.49	 14.09	 8.33	
-160	 1.750	 0.40	 0.57	 5.33	 15.41	 270.54	 14.10	 9.75	
-150	 1.750	 0.55	 0.57	 5.34	 15.35	 270.61	 14.13	 11.95	
-140	 1.750	 0.70	 0.56	 5.35	 15.29	 270.44	 14.21	 13.16	
-130	 1.750	 0.84	 0.56	 5.35	 15.22	 270.13	 14.31	 14.13	
-120	 1.750	 0.97	 0.55	 5.37	 15.14	 270.14	 14.45	 15.98	
-110	 1.750	 1.10	 0.56	 5.38	 15.06	 269.94	 14.58	 17.75	
-100	 1.750	 1.22	 0.56	 5.39	 14.98	 269.46	 14.71	 18.76	
-90	 1.750	 1.34	 0.57	 5.41	 14.95	 269.25	 14.85	 18.83	
-80	 1.750	 1.43	 0.57	 5.42	 14.94	 268.79	 14.97	 19.56	
-70	 1.750	 1.52	 0.57	 5.43	 14.91	 268.38	 15.10	 20.15	
-60	 1.750	 1.60	 0.57	 5.45	 14.87	 267.69	 15.19	 20.96	
-50	 1.750	 1.66	 0.56	 5.47	 14.87	 266.99	 15.25	 20.68	
-40	 1.750	 1.72	 0.56	 5.48	 14.84	 266.54	 15.32	 19.80	
-30	 1.750	 1.76	 0.56	 5.50	 14.79	 265.64	 15.39	 19.37	
-20	 1.750	 1.78	 0.56	 5.51	 14.73	 264.97	 15.42	 18.62	
-10	 1.750	 1.80	 0.55	 5.52	 14.68	 263.95	 15.41	 17.24	
  0	 1.750	 1.81	 0.55	 5.54	 14.64	 263.05	 15.37	 14.88	
 10	 1.750	 1.80	 0.56	 5.56	 14.60	 262.45	 15.36	 13.25	
 20	 1.750	 1.77	 0.56	 5.58	 14.53	 261.90	 15.36	 11.91	
 30	 1.750	 1.75	 0.56	 5.59	 14.52	 261.64	 15.35	 10.69	
 40	 1.750	 1.70	 0.56	 5.60	 14.54	 261.23	 15.37	 10.01	
 50	 1.750	 1.65	 0.56	 5.62	 14.54	 261.25	 15.40	 9.94	
 60	 1.750	 1.58	 0.55	 5.63	 14.57	 261.07	 15.42	 9.40	
 70	 1.750	 1.51	 0.55	 5.65	 14.56	 260.76	 15.43	 8.61	
 80	 1.750	 1.42	 0.55	 5.67	 14.59	 260.06	 15.42	 8.66	
 90	 1.750	 1.33	 0.55	 5.68	 14.57	 259.45	 15.38	 9.19	
100	 1.750	 1.23	 0.55	 5.71	 14.53	 258.71	 15.33	 9.70	
110	 1.750	 1.12	 0.55	 5.72	 14.54	 258.05	 15.28	 10.42	
120	 1.750	 1.00	 0.54	 5.73	 14.50	 257.14	 15.27	 11.62	
130	 1.750	 0.88	 0.54	 5.74	 14.48	 255.78	 15.23	 13.11	
140	 1.750	 0.75	 0.54	 5.75	 14.42	 254.60	 15.20	 15.13	
150	 1.750	 0.62	 0.54	 5.76	 14.38	 253.11	 15.18	 16.19	
160	 1.750	 0.48	 0.54	 5.77	 14.36	 251.60	 15.15	 18.02	
170	 1.750	 0.35	 0.54	 5.77	 14.31	 250.33	 15.06	 19.93	
180	 1.750	 0.20	 0.54	 5.78	 14.27	 249.50	 15.00	 21.62	
