Input data (X), from "High Tide -3h" to "High Tide +3h", with t=0 at High Tide 
----------------- 
Description 
Each input scenario is a dataset of time series of the following 8 variables, over a 6h time span, centered on high tide. 
- NM: relative mean sea level (m), referenced to the French vertical datum (IGN69). Representative of the regional relative mean sea level (i.e. mean sea level accounting for the vertical ground motions). 
- T: tidal water level (m), referenced to the relative mean sea level. Location (WGS84): (-3.36°E, 47.68°N). 
- S: atmospheric storm surge (m). Location (WGS84): (-3.36°E, 47.68°N). 
- Hs: significant wave height (m). Location (WGS84): (-3.4778°E, 47.5606°N). 
- Tp: wave peak period (s). Location (WGS84): (-3.4778°E, 47.5606°N). 
- Dp: wave peak direction (° in nautical convention). Location (WGS84): (-3.4778°E, 47.5606°N). 
- U: wind speed (m/s). Location (WGS84): (-3.438°E,47.615°N). 
- DU: wind direction (° in nautical convention). Location (WGS84): (-3.438°E,47.615°N). 
----------------- 
----------------- 
Scenario n°41
Type of Scenario: statistical event 
High Tide date: Not Concerned 
Data source: Not Concerned 
----------------- 
t (min)	NM (m/IGN69)	T (m/NM)	S (m)	Hs (m)	Tp (s)	Dp (° nautical)	U (m/s)	DU (° nautical) 
-180	 0.330	 0.16	 0.39	 5.13	 12.95	 259.74	 14.10	 132.07	
-170	 0.330	 0.33	 0.39	 5.12	 13.05	 259.87	 14.21	 130.20	
-160	 0.330	 0.51	 0.39	 5.12	 13.15	 259.84	 14.31	 128.75	
-150	 0.330	 0.67	 0.39	 5.11	 13.19	 259.83	 14.34	 127.54	
-140	 0.330	 0.82	 0.38	 5.11	 13.25	 259.86	 14.39	 127.16	
-130	 0.330	 0.97	 0.38	 5.11	 13.26	 259.75	 14.46	 126.45	
-120	 0.330	 1.11	 0.38	 5.11	 13.26	 259.25	 14.54	 126.51	
-110	 0.330	 1.23	 0.38	 5.11	 13.25	 259.02	 14.65	 126.53	
-100	 0.330	 1.36	 0.38	 5.11	 13.27	 258.18	 14.72	 126.45	
-90	 0.330	 1.46	 0.38	 5.11	 13.32	 257.60	 14.81	 126.43	
-80	 0.330	 1.56	 0.37	 5.11	 13.35	 257.51	 14.87	 125.30	
-70	 0.330	 1.64	 0.38	 5.12	 13.33	 258.27	 14.88	 124.43	
-60	 0.330	 1.71	 0.38	 5.12	 13.31	 259.05	 14.89	 124.72	
-50	 0.330	 1.77	 0.38	 5.11	 13.28	 259.68	 14.87	 125.56	
-40	 0.330	 1.82	 0.39	 5.11	 13.25	 260.55	 14.84	 126.11	
-30	 0.330	 1.86	 0.39	 5.11	 13.23	 261.21	 14.82	 127.17	
-20	 0.330	 1.90	 0.38	 5.12	 13.21	 261.68	 14.79	 127.53	
-10	 0.330	 1.91	 0.38	 5.11	 13.24	 262.04	 14.75	 127.23	
  0	 0.330	 1.93	 0.38	 5.11	 13.26	 262.32	 14.69	 126.63	
 10	 0.330	 1.92	 0.38	 5.11	 13.25	 262.36	 14.62	 125.69	
 20	 0.330	 1.91	 0.38	 5.10	 13.25	 262.08	 14.56	 124.34	
 30	 0.330	 1.88	 0.37	 5.10	 13.22	 261.56	 14.55	 123.26	
 40	 0.330	 1.85	 0.37	 5.09	 13.20	 260.52	 14.55	 122.84	
 50	 0.330	 1.81	 0.37	 5.10	 13.16	 258.83	 14.55	 122.39	
 60	 0.330	 1.75	 0.38	 5.09	 13.14	 256.97	 14.51	 121.24	
 70	 0.330	 1.68	 0.38	 5.09	 13.17	 255.24	 14.48	 120.15	
 80	 0.330	 1.61	 0.38	 5.09	 13.13	 253.81	 14.45	 119.45	
 90	 0.330	 1.51	 0.37	 5.08	 13.15	 253.18	 14.44	 118.75	
100	 0.330	 1.42	 0.37	 5.09	 13.16	 252.50	 14.42	 118.11	
110	 0.330	 1.31	 0.37	 5.09	 13.19	 252.63	 14.40	 116.93	
120	 0.330	 1.20	 0.37	 5.08	 13.19	 253.03	 14.38	 116.28	
130	 0.330	 1.07	 0.36	 5.08	 13.17	 253.82	 14.40	 116.13	
140	 0.330	 0.93	 0.36	 5.08	 13.19	 254.91	 14.48	 115.89	
150	 0.330	 0.80	 0.36	 5.08	 13.18	 255.25	 14.61	 115.33	
160	 0.330	 0.64	 0.36	 5.08	 13.17	 255.76	 14.76	 114.12	
170	 0.330	 0.49	 0.36	 5.08	 13.13	 255.56	 14.90	 113.21	
180	 0.330	 0.33	 0.36	 5.08	 13.10	 254.89	 15.02	 112.79	
