t_min,NM_m_IGN69,T_m_NM,S_m,Hs_m,Tp_s,Dp_deg,U_m_s,DU_deg
-180,1.97,0.27,0.12,5.34,14.87,256.25,11.92,223.63
-170,1.97,0.44,0.12,5.33,14.94,256.66,11.91,221.96
-160,1.97,0.6,0.12,5.32,15.0,257.41,11.94,219.68
-150,1.97,0.77,0.11,5.32,15.07,257.66,11.94,217.56
-140,1.97,0.92,0.11,5.3,15.15,257.63,11.98,215.75
-130,1.97,1.07,0.11,5.3,15.25,258.08,12.01,213.89
-120,1.97,1.2,0.12,5.29,15.37,259.06,12.05,212.36
-110,1.97,1.33,0.12,5.28,15.48,259.67,12.16,211.5
-100,1.97,1.45,0.12,5.27,15.57,260.3,12.23,211.44
-90,1.97,1.56,0.12,5.25,15.62,261.28,12.28,210.96
-80,1.97,1.66,0.12,5.25,15.67,262.43,12.26,210.45
-70,1.97,1.75,0.12,5.23,15.7,263.29,12.28,209.55
-60,1.97,1.83,0.12,5.23,15.7,263.95,12.24,208.88
-50,1.97,1.9,0.12,5.21,15.67,264.73,12.21,208.1
-40,1.97,1.96,0.12,5.2,15.64,265.28,12.18,207.64
-30,1.97,2.01,0.13,5.2,15.62,265.14,12.14,208.61
-20,1.97,2.04,0.12,5.18,15.61,264.88,12.1,209.57
-10,1.97,2.06,0.12,5.17,15.62,264.55,12.07,210.63
0,1.97,2.07,0.12,5.16,15.6,263.97,12.1,212.12
10,1.97,2.06,0.12,5.15,15.61,263.58,12.12,213.3
20,1.97,2.04,0.12,5.14,15.62,263.39,12.09,214.18
30,1.97,2.02,0.12,5.12,15.58,262.82,12.05,214.66
40,1.97,1.96,0.12,5.1,15.54,262.11,12.02,214.71
50,1.97,1.9,0.12,5.09,15.49,262.18,12.01,214.43
60,1.97,1.82,0.12,5.07,15.44,261.99,11.94,214.53
70,1.97,1.74,0.13,5.05,15.41,261.66,11.85,214.83
80,1.97,1.64,0.13,5.02,15.39,260.68,11.83,215.25
90,1.97,1.53,0.13,5.01,15.44,260.43,11.77,215.96
100,1.97,1.4,0.12,5.0,15.5,260.07,11.74,215.79
110,1.97,1.26,0.12,4.98,15.56,259.36,11.7,216.17
120,1.97,1.1,0.12,4.96,15.65,259.23,11.73,215.51
130,1.97,0.95,0.13,4.94,15.76,258.83,11.79,214.54
140,1.97,0.78,0.13,4.93,15.85,258.56,11.79,214.38
150,1.97,0.6,0.12,4.91,15.91,258.3,11.84,214.33
160,1.97,0.42,0.13,4.9,15.94,258.51,11.94,215.04
170,1.97,0.23,0.13,4.89,15.94,257.95,12.06,216.29
180,1.97,0.04,0.13,4.87,15.9,256.71,12.16,217.81
